idx1	idx2	sire	dam	sex	generation	k.grm	k.ped	ped.kin
22716.11	39	40	24481.1	24148.1	1	F39	0.07020914856	0.543569702115227	22714 22715 22716 30009 30010 30017
22714.12	40	38	24481.1	24148.1	2	F39	0.07706695189	0.543569702115227	22714 22715 22716
22715.12	40	39	24481.1	24148.1	2	F39	0.07020914856	0.543569702115227	22714 22715 22716
22716.12	40	40	24481.1	24148.1	1	F39	0.5152387012	0.696740852621059	22714 22715 22716 30009 30010 30017
30009.1	40	189	22716.1	25850.1	1	F40	0.06440261121	0.544010731743028	22716 25850 30009 30010 30017 31685 31686 31687
30017.1	40	193	22716.1	25850.1	2	F40	0.08567072177	0.544010731743028	22716 25850 30009 30010 30017 35527 35528
31686.1	40	392	30009.1	30601.1	2	F41	0.06106145273	0.470577054267865	30009 30601 31685 31686 31687
35528.1	40	574	30034.1	30017.1	1	F41	0.05544794569	0.469447221553909	30017 30034 33769 33770 35527 35528
22717.1	41	41	24374.1	24147.1	2	F39	0.5183110758	0.697031305053327	22717 22718 29264 29265 29266
22718.1	41	42	24374.1	24147.1	1	F39	0.08658645945	0.544424978295762	22717 22718 29153 29154
29264.1	41	161	22877.1	22717.1	2	F40	0.05340907225	0.547980648518419	22717 22877 29264 29265 29266 35254
29265.1	41	162	22877.1	22717.1	1	F40	0.05662507462	0.547980648518419	22717 22877 29264 29265 29266 31103 31104 31105
29266.1	41	163	22877.1	22717.1	1	F40	0.05497494578	0.547980648518419	22717 22877 29264 29265 29266 31054
22717.11	42	41	24374.1	24147.1	2	F39	0.08658645945	0.544424978295762	22717 22718 29264 29265 29266
22718.11	42	42	24374.1	24147.1	1	F39	0.5421775707	0.697031305053327	22717 22718 29153 29154
29153.1	42	159	22718.1	22762.1	2	F40	0.09480410859	0.54368337409517	22718 22762 29153 29154 35216 35217 35218
29154.1	42	160	22718.1	22762.1	1	F40	0.08552408696	0.54368337409517	22718 22762 29153 29154 35354 35355
35218.11	42	542	29150.1	29153.1	1	F41	0.05503433439	0.46929887512649	29150 29153 33704 33705 33706 35216 35217 35218
35355.1	42	563	29154.1	29267.1	1	F41	0.05439463721	0.469055380685004	29154 29267 33739 33740 33741 35354 35355
22719.1	43	43	24038.1	24348.1	2	F39	0.5223624136	0.693445176835745	22719 22720 22721 22722
22721.1	43	45	24038.1	24348.1	1	F39	0.05881418607	0.544551429581876	22719 22720 22721 22722 29339 29341
